"entidad","nom_ent","mun","nom_mun","loc","nom_loc","longitud","latitud","altitud","pobtot","pobmas","pobfem","p_0a2","p_0a2_m","p_0a2_f","p_3ymas","p_3ymas_m","p_3ymas_f","p_5ymas","p_5ymas_m","p_5ymas_f","p_12ymas","p_12ymas_m","p_12ymas_f","p_15ymas","p_15ymas_m","p_15ymas_f","p_18ymas","p_18ymas_m","p_18ymas_f","p_3a5","p_3a5_m","p_3a5_f","p_6a11","p_6a11_m","p_6a11_f","p_8a14","p_8a14_m","p_8a14_f","p_12a14","p_12a14_m","p_12a14_f","p_15a17","p_15a17_m","p_15a17_f","p_18a24","p_18a24_m","p_18a24_f","p_15a49_f","p_60ymas","p_60ymas_m","p_60ymas_f","rel_h_m","pob0_14","pob15_64","pob65_mas","prom_hnv","pnacent","pnacent_m","pnacent_f","pnacoe","pnacoe_m","pnacoe_f","pres2005","pres2005_m","pres2005_f","presoe05","presoe05_m","presoe05_f","p3ym_hli","p3ym_hli_m","p3ym_hli_f","p3hlinhe","p3hlinhe_m","p3hlinhe_f","p3hli_he","p3hli_he_m","p3hli_he_f","p5_hli","p5_hli_nhe","p5_hli_he","phog_ind","pcon_lim","pclim_mot","pclim_vis","pclim_leng","pclim_aud","pclim_mot2","pclim_men","pclim_men2","psin_lim","p3a5_noa","p3a5_noa_m","p3a5_noa_f","p6a11_noa","p6a11_noam","p6a11_noaf","p12a14noa","p12a14noam","p12a14noaf","p15a17a","p15a17a_m","p15a17a_f","p18a24a","p18a24a_m","p18a24a_f","p8a14an","p8a14an_m","p8a14an_f","p15ym_an","p15ym_an_m","p15ym_an_f","p15ym_se","p15ym_se_m","p15ym_se_f","p15pri_in","p15pri_inm","p15pri_inf","p15pri_co","p15pri_com","p15pri_cof","p15sec_in","p15sec_inm","p15sec_inf","p15sec_co","p15sec_com","p15sec_cof","p18ym_pb","p18ym_pb_m","p18ym_pb_f","graproes","graproes_m","graproes_f","pea","pea_m","pea_f","pe_inac","pe_inac_m","pe_inac_f","pocupada","pocupada_m","pocupada_f","pdesocup","pdesocup_m","pdesocup_f","psinder","pder_ss","pder_imss","pder_iste","pder_istee","pder_segp","p12ym_solt","p12ym_casa","p12ym_sepa","pcatolica","pncatolica","potras_rel","psin_relig","tothog","hogjef_m","hogjef_f","pobhog","phogjef_m","phogjef_f","vivtot","tvivhab","tvivpar","vivpar_hab","tvivparhab","vivpar_des","vivpar_ut","ocupvivpar","prom_ocup","pro_ocup_c","vph_pisodt","vph_pisoti","vph_1dor","vph_2ymasd","vph_1cuart","vph_2cuart","vph_3ymasc","vph_c_elec","vph_s_elec","vph_aguadv","vph_aguafv","vph_excsa","vph_drenaj","vph_nodren","vph_c_serv","vph_snbien","vph_radio","vph_tv","vph_refri","vph_lavad","vph_autom","vph_pc","vph_telef","vph_cel","vph_inter","tam_loc"
31,Yucatán,000,Total de la entidad Yucatán,0000,Total de la Entidad,,,,1955577,963333,992244,100446,50930,49516,1842533,906108,936425,1772252,870819,901433,1517245,741476,775769,1408061,686006,722055,1291470,627090,664380,105043,52930,52113,220245,111702,108543,256966,130699,126267,109184,55470,53714,116591,58916,57675,258758,128710,130048,536261,196474,94849,101625,97.09,534918,1273159,134902,2.23,1772324,873689,898635,156210,76053,80157,1704481,835416,869065,49815,25232,24583,544927,277307,267620,43010,17619,25391,492297,255021,237276,537516,40273,487751,956352,101147,57815,27793,9626,10874,6068,5246,10035,1828577,38861,19673,19188,4930,2582,2348,6921,3411,3510,80918,41461,39457,77310,39703,37607,11747,6797,4950,130006,53338,76668,109071,46286,62785,246763,118046,128717,201741,91812,109929,76933,43650,33283,289309,145122,144187,441684,222157,219527,8.22,8.41,8.03,796386,538784,257602,710649,197128,513521,775807,522739,253068,20579,16045,4534,470812,1464077,761192,92953,3198,562679,527012,848773,135395,1554805,273782,1776,93358,503106,390167,112939,1938698,1565749,372949,638502,507248,634360,503106,507145,78097,53157,1938698,3.85,1.14,484689,13999,213999,285611,55999,111653,331557,489688,10155,471292,27757,435885,400748,97945,386055,17659,377161,462587,386610,344598,169501,129964,155513,335973,91839,
31,Yucatán,000,Total de la entidad Yucatán,9998,Localidades de una vivienda,,,,4513,2645,1868,205,99,106,4277,2530,1747,4127,2454,1673,3654,2208,1446,3428,2083,1345,3179,1944,1235,211,110,101,412,212,200,503,273,230,226,125,101,249,139,110,444,242,202,888,892,626,266,*,1054,2813,615,*,4041,2382,1659,380,215,165,3902,2323,1579,184,109,75,2474,1568,906,388,188,200,2040,1349,691,2440,377,2018,3404,263,136,82,26,39,8,7,29,4184,124,67,57,64,34,30,56,31,25,100,64,36,60,34,26,88,61,27,973,563,410,896,543,353,1037,688,349,549,307,242,145,83,62,374,204,170,386,238,148,*,*,*,2165,1902,263,1478,302,1176,2148,1889,259,17,13,4,1908,2570,724,76,3,1659,1102,2243,308,3487,581,9,356,1491,1399,92,4459,4160,299,1987,1503,1975,1491,1501,230,254,4459,*,*,1142,338,1078,403,422,562,496,825,650,469,1002,931,756,719,337,364,882,666,504,318,280,79,68,566,44,
31,Yucatán,000,Total de la entidad Yucatán,9999,Localidades de dos viviendas,,,,1260,668,592,80,40,40,1174,625,549,1121,598,523,957,505,452,888,463,425,827,436,391,74,36,38,143,84,59,164,104,60,69,42,27,61,27,34,153,72,81,299,170,98,72,*,366,763,125,*,1190,633,557,58,29,29,1078,578,500,36,17,19,844,465,379,222,94,128,614,368,246,824,213,603,1075,55,31,12,11,6,3,3,7,1191,35,17,18,18,10,8,22,11,11,21,10,11,11,3,8,31,23,8,301,142,159,260,127,133,287,168,119,142,65,77,33,16,17,95,53,42,67,31,36,*,*,*,510,444,66,444,60,384,508,442,66,2,2,0,492,754,121,10,0,601,303,593,60,1076,105,0,67,336,304,32,1254,1155,99,442,338,440,336,338,47,57,1254,*,*,232,104,259,76,118,143,74,174,160,87,247,162,125,206,59,108,178,147,93,73,49,13,8,98,7,
31,Yucatán,001,Abalá,0000,Total del Municipio,,,,6356,3254,3102,380,183,197,5968,3067,2901,5716,2935,2781,4836,2495,2341,4481,2321,2160,4068,2108,1960,389,204,185,743,368,375,844,420,424,355,174,181,413,213,200,817,414,403,1648,631,358,273,104.90,1867,4040,441,2.66,6322,3237,3085,25,14,11,5692,2920,2772,6,5,1,3799,2004,1795,206,113,93,3545,1873,1672,3725,200,3477,5505,436,267,128,38,60,16,11,34,5905,103,57,46,21,12,9,40,18,22,238,121,117,91,49,42,54,35,19,779,342,437,531,252,279,1488,781,707,852,398,454,252,133,119,902,508,394,386,215,171,5.59,5.75,5.42,2440,1854,586,2386,634,1752,2365,1782,583,75,72,3,2442,3904,2203,96,0,1596,1534,2975,324,4144,912,0,1265,1606,1429,177,6350,5791,559,1829,1608,1827,1606,1608,121,100,6350,3.95,1.79,1548,52,918,681,394,645,560,1541,59,1542,60,1283,646,956,605,67,1086,1461,1009,866,168,31,42,681,7,
31,Yucatán,001,Abalá,0001,Abalá,0894047,203848,0010,1890,954,936,90,37,53,1794,914,880,1732,880,852,1502,778,724,1405,730,675,1285,665,620,93,48,45,199,88,111,220,98,122,97,48,49,120,65,55,232,121,111,510,209,114,95,101.92,479,1257,148,2.54,1867,942,925,16,9,7,1714,867,847,4,3,1,624,358,266,4,2,2,614,352,262,624,4,614,1281,114,76,17,10,8,3,3,12,1767,23,13,10,1,1,0,3,1,2,97,47,50,49,26,23,3,0,3,160,70,90,118,63,55,333,166,167,247,113,134,83,47,36,338,187,151,247,136,111,6.84,7.05,6.62,770,564,206,728,211,517,739,536,203,31,28,3,592,1291,770,88,0,427,494,916,91,1607,164,0,110,523,467,56,1884,1712,172,628,525,626,523,525,57,46,1884,3.60,1.56,512,7,293,228,128,193,200,507,14,482,39,421,352,169,327,10,358,478,361,311,88,21,14,308,3,4
31,Yucatán,001,Abalá,0003,Mucuyché,0893615,203720,0010,494,265,229,29,15,14,465,250,215,448,240,208,388,204,184,362,194,168,325,172,153,29,20,9,48,26,22,54,25,29,26,10,16,37,22,15,65,35,30,118,66,37,29,115.72,132,316,46,2.95,494,265,229,0,0,0,448,240,208,0,0,0,391,205,186,17,8,9,374,197,177,390,17,373,494,33,21,17,4,8,1,0,2,459,4,3,1,1,0,1,0,0,0,21,13,8,5,2,3,1,1,0,75,33,42,41,20,21,127,68,59,60,32,28,18,6,12,90,53,37,20,11,9,5.33,5.46,5.18,206,153,53,182,51,131,204,151,53,2,2,0,75,419,145,2,0,272,128,228,32,263,140,0,83,127,111,16,494,446,48,140,127,140,127,127,7,6,494,3.89,1.84,123,4,71,56,30,60,37,114,13,127,0,102,49,78,45,19,67,97,59,51,6,1,4,27,0,2
31,Yucatán,001,Abalá,0005,Sihunchén,0894053,204131,0010,334,177,157,12,7,5,322,170,152,311,166,145,257,141,116,242,135,107,221,123,98,15,5,10,50,24,26,47,22,25,15,6,9,21,12,9,37,20,17,82,32,19,13,112.74,92,214,28,2.66,333,176,157,1,1,0,310,165,145,1,1,0,142,84,58,0,0,0,140,84,56,142,0,140,282,14,8,6,1,4,1,0,1,319,2,2,0,0,0,0,2,1,1,16,9,7,4,3,1,1,1,0,26,9,17,22,9,13,89,55,34,55,23,32,22,14,8,32,20,12,18,12,6,5.43,5.60,5.21,123,100,23,134,41,93,123,100,23,0,0,0,70,263,244,0,0,19,70,180,7,303,17,0,11,89,87,2,334,326,8,94,89,94,89,89,2,3,334,3.75,1.79,89,0,51,38,18,46,25,88,1,88,1,66,49,40,49,4,66,82,62,51,14,0,0,50,0,2
31,Yucatán,001,Abalá,0006,Temozón,0893908,204123,0021,760,392,368,51,25,26,708,366,342,674,346,328,560,287,273,527,271,256,491,251,240,52,31,21,96,48,48,103,53,50,33,16,17,36,20,16,84,37,47,194,76,49,27,106.52,232,476,51,2.44,756,391,365,3,1,2,673,345,328,1,1,0,419,216,203,6,2,4,379,200,179,419,6,379,727,90,50,40,6,19,3,2,4,670,10,4,6,3,0,3,1,1,0,25,14,11,13,7,6,3,1,2,62,27,35,52,28,24,150,69,81,110,55,55,28,17,11,125,67,58,53,30,23,6.03,6.15,5.90,274,207,67,285,80,205,265,198,67,9,9,0,283,477,462,1,0,14,160,357,42,627,95,0,27,185,172,13,760,713,47,203,185,203,185,185,9,9,760,4.11,1.70,178,7,107,75,27,73,82,177,6,183,2,136,60,125,58,5,134,176,131,120,24,8,14,104,1,3
31,Yucatán,001,Abalá,0007,Uayalceh,0893538,204140,0010,2323,1181,1142,164,78,86,2159,1103,1056,2048,1048,1000,1695,863,832,1552,790,762,1392,711,681,168,84,84,296,156,140,339,180,159,143,73,70,160,79,81,334,173,161,607,169,97,72,103.42,771,1442,110,2.71,2321,1180,1141,2,1,1,2046,1048,998,0,0,0,2022,1032,990,179,101,78,1840,931,909,1949,173,1773,2319,144,82,43,15,20,6,5,12,2177,60,34,26,15,10,5,33,15,18,55,29,26,13,8,5,43,29,14,406,180,226,257,115,142,662,353,309,307,138,169,73,37,36,230,133,97,18,12,6,4.37,4.52,4.21,856,675,181,834,184,650,828,647,181,28,28,0,1239,1082,319,5,0,755,525,1052,117,818,478,0,1023,542,474,68,2323,2115,208,589,542,589,542,542,29,18,2323,4.29,2.03,513,27,313,227,156,210,174,526,14,526,14,438,48,492,45,25,357,499,300,243,33,0,7,106,3,4
31,Yucatán,001,Abalá,0008,Peba,0894108,204321,0010,271,132,139,13,9,4,257,123,134,248,117,131,219,104,115,204,98,106,183,91,92,16,9,7,22,10,12,30,15,15,15,6,9,21,7,14,35,12,23,74,41,18,23,94.96,66,175,29,2.70,270,132,138,0,0,0,247,117,130,0,0,0,120,61,59,0,0,0,120,61,59,120,0,120,218,11,5,2,0,1,0,1,2,260,1,0,1,1,1,0,1,0,1,16,5,11,6,2,4,1,1,0,25,7,18,23,6,17,56,31,25,25,14,11,16,7,9,51,25,26,28,13,15,6.25,6.49,6.04,113,80,33,106,24,82,112,79,33,1,1,0,73,198,131,0,0,67,76,123,20,264,6,0,1,71,58,13,271,233,38,87,71,87,71,71,3,13,271,3.82,1.90,66,5,33,38,20,34,17,69,2,70,1,61,43,28,43,2,55,66,51,48,1,1,2,46,0,2
